,Unnamed: 0,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema,ema_slow,sell,buy,moving_avg,trend_change,TriggerSell,TriggerBuy
112,25,202409181200,1.11261,1.11235,1.1125200000000002,1.11243,2644,m15,1,,,1.1128086846711844,1.1128597289546922,1,0,1.1124660000000006,0,0,0
113,13,202409181200,1.11286,1.11222,1.11232,1.11243,5296,m30,1,,,1.1128019353095746,1.1127978502752112,1,0,1.1124440000000007,0,0,0
114,74,202409181205,1.11259,1.11236,1.1124,1.11255,958,m5,1,,,1.1125407121134807,1.1129152478127688,0,1,1.1124440000000007,0,0,0
115,75,202409181210,1.11258,1.11239,1.1125200000000002,1.1124,752,m5,1,,,1.1125369462737698,1.1128989695450369,0,1,1.1124620000000007,0,0,0
116,26,202409181215,1.11286,1.11222,1.11232,1.1125200000000002,2652,m15,1,,,1.112719437052539,1.1128276815129456,1,0,1.112416000000001,0,0,0
117,76,202409181215,1.11256,1.11224,1.11251,1.1125200000000002,782,m5,1,,,1.1125320469503122,1.1128829813328105,0,1,1.112414000000001,0,0,0
118,77,202409181220,1.11286,1.1125,1.11265,1.11251,1093,m5,1,,1.0,1.1125534929627632,1.1128734229127797,1,-1,1.1124800000000008,1,0,0
119,78,202409181225,1.11269,1.11222,1.11232,1.11265,777,m5,1,,,1.1125110396912719,1.1128507589219891,1,0,1.1124640000000008,0,0,0
120,14,202409181230,1.11238,1.11178,1.11222,1.11232,5751,m30,1,,,1.1126906434590105,1.1127476304743895,1,0,1.1124040000000008,0,0,0
121,79,202409181230,1.11232,1.11198,1.11214,1.11232,1002,m5,1,,,1.1124435779220274,1.1128217021087032,1,0,1.1123680000000007,0,0,0
122,27,202409181230,1.11232,1.11178,1.1119700000000001,1.11232,2664,m15,1,1.0,,1.1125826794677145,1.1127777614776873,-1,1,1.1122600000000007,-1,0,0
123,80,202409181235,1.11218,1.11194,1.11209,1.11214,884,m5,1,,,1.1123792910215036,1.1127918388521787,1,0,1.1121480000000008,0,0,0
124,81,202409181240,1.1121299999999998,1.11178,1.1119700000000001,1.11209,778,m5,1,1.0,,1.1123048744668258,1.1127583503133462,-1,1,1.112078000000001,-1,0,1
125,28,202409181245,1.11238,1.11182,1.11222,1.1119700000000001,3087,m15,1,,,1.1125165413665965,1.1127459027538469,0,1,1.112078000000001,0,0,0
126,82,202409181245,1.11219,1.11182,1.1120700000000001,1.1119700000000001,737,m5,1,,,1.1122621700158175,1.1127303441287406,0,1,1.112064000000001,0,0,0
127,83,202409181250,1.11238,1.1120700000000001,1.11214,1.1120700000000001,1157,m5,1,,,1.1122399572846071,1.112706360680532,0,1,1.112098000000001,0,0,0
128,84,202409181255,1.1122299999999998,1.1119,1.11222,1.11214,1193,m5,1,,,1.112236328687264,1.112686629517767,0,1,1.112124000000001,0,0,0
129,85,202409181300,1.1130799999999998,1.11222,1.11303,1.11222,1085,m5,1,,,1.112380632566924,1.1127005408859199,0,1,1.1123360000000009,0,0,0
130,15,202409181300,1.11398,1.11222,1.1139299999999999,1.11222,6558,m30,1,,1.0,1.1129254500865475,1.1128457101767404,1,-1,1.112678000000001,1,0,0
131,29,202409181300,1.11339,1.11222,1.11321,1.11222,3295,m15,1,,,1.1126429318043785,1.1127719452353204,0,1,1.1129060000000008,0,0,0
132,86,202409181305,1.1132,1.11287,1.11289,1.11303,1008,m5,1,,,1.1124732448299075,1.112708206709703,0,1,1.1130560000000007,0,0,0
133,87,202409181310,1.11339,1.11283,1.11321,1.11289,1202,m5,1,,,1.112607200318248,1.11272848481676,0,1,1.1132540000000009,0,0,0
134,30,202409181315,1.11398,1.11316,1.1139299999999999,1.11321,3263,m15,1,,1.0,1.1128774102696828,1.1128358487617414,1,-1,1.1134340000000007,1,0,0
135,88,202409181315,1.11355,1.11316,1.11354,1.11321,988,m5,1,,,1.112776800263357,1.1127612400188822,0,1,1.1133560000000007,0,0,0
136,89,202409181320,1.11374,1.11341,1.11366,1.11354,1194,m5,1,,,1.112937382035958,1.1127974751106922,0,1,1.1134460000000008,0,0,0
137,90,202409181325,1.11398,1.11356,1.1139299999999999,1.11366,1081,m5,1,,1.0,1.1131178580315373,1.112843084627045,1,-1,1.1136540000000008,1,1,0
138,31,202409181330,1.11396,1.11355,1.11388,1.1139299999999999,2794,m15,1,,,1.1130599962468364,1.1128925614089191,1,0,1.1137880000000007,0,0,0
139,16,202409181330,1.11396,1.11303,1.11352,1.1139299999999999,6441,m30,1,,,1.1130372385206846,1.112899299935053,1,0,1.1137060000000008,0,0,0
140,91,202409181330,1.11396,1.11372,1.11386,1.1139299999999999,1060,m5,1,,,1.1132527929361893,1.1128839950372171,1,0,1.1137700000000006,0,0,0
141,92,202409181335,1.11388,1.11366,1.11386,1.11386,849,m5,1,,,1.1133631942213855,1.1129232198428378,1,0,1.1138100000000004,0,0,0
142,93,202409181340,1.11388,1.11355,1.11388,1.11386,885,m5,1,,,1.11345715890901,1.1129616346247149,1,0,1.1138000000000006,0,0,0
143,32,202409181345,1.11391,1.11303,1.11352,1.11388,3647,m15,1,,,1.1131437447277437,1.1129261335762617,1,0,1.1137280000000005,0,0,0
144,94,202409181345,1.11391,1.11354,1.11355,1.11388,1002,m5,1,,,1.113474039107461,1.1129852354785017,1,0,1.1137340000000004,0,0,0
145,95,202409181350,1.1136,1.11303,1.11316,1.11355,1446,m5,1,,,1.1134169410876766,1.1129922394527023,1,0,1.1135940000000004,0,0,0
146,96,202409181355,1.11354,1.11316,1.11352,1.11316,1199,m5,1,,,1.1134356790718014,1.1130133721261342,1,0,1.1135260000000007,0,0,0
147,33,202409181400,1.11362,1.11281,1.11291,1.11352,3915,m15,1,,,1.1131011993687174,1.1129252824848233,1,0,1.1133320000000007,0,0,0
148,97,202409181400,1.11362,1.11322,1.1133600000000001,1.11352,1519,m5,1,,,1.113421919240525,1.1130272403938894,1,0,1.1133000000000006,0,0,0
149,17,202409181400,1.11362,1.1115700000000002,1.1115899999999999,1.11352,7856,m30,1,,,1.112766803627224,1.1127992694508575,1,0,1.1129080000000005,0,0,0
150,98,202409181405,1.1134,1.11307,1.1132,1.1133600000000001,1187,m5,1,,,1.113381570287607,1.1130341468698297,1,0,1.1129160000000007,0,0,0
151,99,202409181410,1.11321,1.11281,1.11291,1.1132,1209,m5,1,,,1.11329583023515,1.1130291875810303,1,0,1.1127940000000005,0,0,0
152,100,202409181415,1.1130200000000001,1.11227,1.11229,1.11291,1281,m5,1,,,1.1131129520102887,1.112999680868893,1,0,1.1126700000000005,0,0,0
153,34,202409181415,1.1130200000000001,1.1115700000000002,1.1115899999999999,1.11291,3941,m15,1,,,1.1128261908900878,1.112855783402798,1,0,1.1123160000000003,0,0,0
154,101,202409181420,1.11232,1.11171,1.11208,1.11229,1581,m5,1,,,1.1129251425536302,1.112962995025237,1,0,1.1124140000000005,0,0,0
155,102,202409181425,1.1121,1.1115700000000002,1.1115899999999999,1.11208,1079,m5,1,,,1.1126823893618047,1.1129082634841496,1,0,1.1120920000000003,0,0,0
156,103,202409181430,1.11165,1.11087,1.1109200000000001,1.1115899999999999,1621,m5,1,1.0,,1.1123619549321089,1.1128290568303532,-1,1,1.1116940000000004,-1,0,0
157,35,202409181430,1.1117700000000001,1.11081,1.11139,1.1115899999999999,4797,m15,1,1.0,,1.1125648748330077,1.1127804585882797,-1,1,1.1115140000000003,-1,0,0
158,18,202409181430,1.11182,1.11081,1.11181,1.1115899999999999,9468,m30,1,,,1.1125889101073507,1.1127263989268263,1,0,1.1115580000000005,0,0,0
159,104,202409181435,1.11131,1.11081,1.1113,1.1109200000000001,1727,m5,1,,,1.1121688722170435,1.1127681814673982,0,1,1.1114020000000004,0,0,0
160,105,202409181440,1.1117700000000001,1.1112799999999998,1.11139,1.1113,1449,m5,1,,,1.11202725908659,1.1127133455281368,0,1,1.1113620000000006,0,0,0
161,106,202409181445,1.11182,1.11131,1.11141,1.11139,1610,m5,1,,,1.1119150301617025,1.1126615169020446,0,1,1.1114600000000006,0,0,0
162,36,202409181445,1.11182,1.1111799999999998,1.11181,1.11139,4671,m15,1,,,1.112427542976402,1.1127311876886234,0,1,1.1115440000000008,0,0,0
163,107,202409181450,1.11181,1.1111799999999998,1.11169,1.11141,1790,m5,1,,,1.1118741155868317,1.1126229049614722,0,1,1.1115200000000007,0,0,0
164,108,202409181455,1.11181,1.11158,1.11181,1.11169,1271,m5,1,,,1.111862458207404,1.11259061394831,0,1,1.1116220000000008,0,0,0
165,109,202409181500,1.11202,1.11165,1.11202,1.11181,1233,m5,1,,,1.1118911021697018,1.1125679589507926,0,1,1.1117480000000008,0,0,0
166,19,202409181500,1.1122,1.1115,1.11206,1.11181,6174,m30,1,,,1.1124909747858178,1.1126789458835915,1,0,1.1118780000000006,0,0,0
167,37,202409181500,1.1122,1.11165,1.11174,1.11181,3700,m15,1,,,1.1123024741466971,1.1126814392035904,0,1,1.1118640000000006,0,0,0
168,110,202409181505,1.1122,1.11182,1.11188,1.11202,1229,m5,1,,,1.1118890835933921,1.1125406583225108,0,1,1.1119020000000006,0,0,0
169,111,202409181510,1.11212,1.11172,1.11174,1.11188,1238,m5,1,,,1.111861977485498,1.112508900244487,0,1,1.1118880000000007,0,0,0
170,112,202409181515,1.11188,1.11168,1.1118,1.11174,732,m5,1,,,1.1118507088517693,1.1124807943738406,0,1,1.1118440000000005,0,0,0
171,38,202409181515,1.11217,1.1115,1.11206,1.11174,2474,m15,1,,,1.1122583703338855,1.1126505872868364,0,1,1.1118440000000007,0,0,0
