,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,trend,trend_line,ema_short,ema_long,rsi,buy,sell
538,202507030225,1.17957,1.17944,1.1795,1.17952,308,m5,1,1.0,,-1,1.1796679999999982,1.179990962868159,1.1802153144651149,9.836065573763335,0,-1
539,202507030230,1.17973,1.1794499999999999,1.1797199999999999,1.1795,402,m5,1,,,-1,1.179639999999998,1.1799416968921301,1.1801681416589136,18.316831683159222,0,0
540,202507030235,1.17999,1.1797199999999999,1.17987,1.1797199999999999,410,m5,1,,,-1,1.1796459999999982,1.179928661093561,1.1801397472152075,24.64454976303078,0,0
541,202507030240,1.17988,1.17971,1.17985,1.17987,377,m5,1,,,-1,1.1796919999999982,1.1799143590765502,1.1801121522423306,25.87064676616673,0,0
542,202507030245,1.18003,1.17983,1.17991,1.17985,463,m5,1,,1.0,-1,1.1797699999999982,1.1799135665171774,1.1800928996478228,24.747474747473035,0,1
543,202507030250,1.17996,1.17975,1.17987,1.17991,362,m5,1,,,-1,1.1798439999999981,1.179905645332236,1.180071671109935,26.775956284149686,0,0
544,202507030255,1.17987,1.17965,1.17978,1.17987,400,m5,1,,,-1,1.1798559999999982,1.179882800726375,1.1800438929089887,23.118279569891826,0,0
545,202507030300,1.17992,1.17977,1.17981,1.17978,368,m5,1,,,-1,1.1798439999999981,1.1798695642306705,1.180021617393847,28.93081761006131,0,0
546,202507030305,1.17981,1.17946,1.17973,1.17981,397,m5,1,,,-1,1.179819999999998,1.1798441889160032,1.1799938443087186,28.220858895703188,0,0
547,202507030310,1.17986,1.1797199999999999,1.17977,1.17973,267,m5,1,,,-1,1.1797919999999984,1.1798307000221844,1.1799725258031262,31.84713375796133,0,0
548,202507030315,1.17994,1.17973,1.17991,1.17977,368,m5,1,,1.0,-1,1.1797999999999982,1.1798451181999692,1.1799665709647331,52.032520325207805,0,0
549,202507030320,1.17991,1.1795,1.17955,1.17991,453,m5,1,,,-1,1.1797539999999982,1.1797914603454294,1.1799268975395205,40.76433121019333,0,0
550,202507030325,1.17956,1.17943,1.17948,1.17955,315,m5,1,,,-1,1.1796879999999983,1.1797348311917149,1.17988433586909,45.07042253521722,0,0
551,202507030330,1.1796,1.17936,1.17953,1.17948,358,m5,1,,,-1,1.179647999999998,1.1796975891568577,1.1798505895958433,50.36496350365212,0,0
552,202507030335,1.1796,1.1793,1.17932,1.17953,278,m5,1,,,-1,1.1795579999999979,1.1796289365828836,1.1798000572533822,44.23076923076622,0,0
553,202507030340,1.17936,1.17917,1.17935,1.17932,414,m5,1,,,-1,1.179445999999998,1.179578220840541,1.1797571946578218,36.496350364962915,0,0
554,202507030345,1.17949,1.17925,1.17925,1.17935,353,m5,1,,,-1,1.1793859999999978,1.179518544324079,1.179708890404696,26.515151515144893,0,0
555,202507030350,1.17925,1.17893,1.17908,1.17925,431,m5,1,,,-1,1.179305999999998,1.1794388089924281,1.179648996080439,23.809523809515895,0,0
556,202507030355,1.17929,1.17908,1.17915,1.17908,490,m5,1,,,-1,1.179229999999998,1.179386298266532,1.1796014726442068,24.32432432431986,0,0
557,202507030400,1.17926,1.1789,1.179,1.17915,417,m5,1,,,-1,1.1791659999999982,1.1793160622180716,1.1795441895352348,22.641509433960422,0,0
558,202507030405,1.17932,1.179,1.17912,1.179,306,m5,1,,,-1,1.1791199999999982,1.1792804145420586,1.179503790531879,29.629629629623025,0,0
559,202507030410,1.17918,1.1791,1.17912,1.17912,274,m5,1,,,-1,1.1790939999999983,1.1792512482616844,1.1794672390526524,28.301886792447036,0,0
560,202507030415,1.17923,1.17907,1.17912,1.17912,230,m5,1,,,-1,1.1791019999999983,1.1792273849413781,1.1794341686666854,29.801324503306972,0,0
561,202507030420,1.17927,1.1791099999999999,1.17921,1.17912,224,m5,1,,1.0,-1,1.1791139999999984,1.1792242240429458,1.179412819269858,32.05128205128295,0,0
562,202507030425,1.17922,1.17898,1.17898,1.17921,224,m5,1,,,-1,1.1791099999999983,1.179179819671501,1.1793715983870146,21.81818181817765,0,0
563,202507030430,1.1791099999999999,1.17897,1.17901,1.17898,205,m5,1,,,-1,1.1790879999999984,1.179148943367592,1.179337160445394,29.545454545446518,0,0
564,202507030435,1.1791099999999999,1.17891,1.1791099999999999,1.17901,249,m5,1,,,-1,1.1790859999999983,1.1791418627553023,1.1793155261172612,36.296296296288375,0,0
565,202507030440,1.1791099999999999,1.17887,1.1789,1.1791099999999999,336,m5,1,,,-1,1.1790419999999981,1.1790978877088838,1.1792759522013316,29.139072847683778,0,0
566,202507030445,1.17909,1.17889,1.17893,1.1789,314,m5,1,,,-1,1.178985999999998,1.179067362670905,1.1792430043726334,35.33834586466392,0,0
567,202507030450,1.17894,1.17874,1.17878,1.17893,357,m5,1,1.0,,-1,1.178945999999998,1.1790151149125585,1.1791989087180967,30.344827586207643,1,-1
568,202507030455,1.17896,1.17878,1.17893,1.17878,414,m5,1,,,-1,1.178929999999998,1.1789996394739115,1.1791732983639922,39.333333333337876,0,0
569,202507030500,1.179,1.17882,1.17891,1.17893,362,m5,1,,,-1,1.1788899999999982,1.1789833413877457,1.1791482223293264,43.703703703704434,0,0
570,202507030505,1.17914,1.17891,1.17907,1.17891,298,m5,1,,1.0,-1,1.178923999999998,1.1789990974990647,1.1791407725836762,47.22222222222779,-1,1
