,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,value1,peaks_min,peaks_max,ema_10,ema_18,peaks_min_ema_10,peaks_max_ema_10,peaks_min_ema_18,peaks_max_ema_18,trade_open_zone,centro_picos_max_suave,centro_picos_min_suave,centro_picos_max_trend,centro_picos_min_trend,signal,last_min_trend_marker,last_max_trend_marker
572,202507141230,96.74300000000001,96.646,96.649,96.73100000000001,1168,m5,1,0,0,96.72448351488919,96.73288349148721,0,0,0,0,0,96.94157320872286,96.55848961381757,,,0,,
573,202507141235,96.661,96.599,96.65400000000001,96.649,1520,m5,1,0,0,96.71166833036388,96.72457996606751,0,0,0,0,0,96.9421464174456,96.5589109395687,,,0,,
574,202507141240,96.662,96.626,96.63900000000001,96.65400000000001,1188,m5,1,0,0,96.69845590666134,96.71557154858671,0,0,0,0,0,96.94271962616834,96.55934621852532,,,0,,
575,202507141245,96.66900000000001,96.61800000000001,96.631,96.63900000000001,1067,m5,1,1,0,96.68619119635927,96.70666928031443,0,0,0,0,0,96.94329283489107,96.55979545068736,,1.0,0,,
576,202507141250,96.653,96.60900000000001,96.65100000000001,96.631,790,m5,1,0,0,96.67979279702122,96.7008093560708,0,0,0,0,0,96.94386604361381,96.56025863605488,,,0,,
577,202507141255,96.66600000000001,96.628,96.659,96.65100000000001,1329,m5,1,0,0,96.67601228847191,96.69640837122125,0,0,0,0,0,96.94443925233657,96.56073577462784,,,0,,
578,202507141300,96.664,96.634,96.64200000000001,96.659,1486,m5,1,0,0,96.66982823602247,96.6906811742506,0,0,0,0,0,96.9450124610593,96.56122686640627,,,0,,
579,202507141305,96.664,96.622,96.635,96.64200000000001,1100,m5,1,0,0,96.66349582947294,96.6848199980137,0,0,0,0,0,96.94558566978205,96.56173191139014,,,0,,
580,202507141310,96.66300000000001,96.625,96.656,96.635,1056,m5,1,0,0,96.66213295138694,96.68178631401226,0,0,0,0,0,96.94615887850478,96.56225090957948,,,0,,
581,202507141315,96.676,96.628,96.64,96.656,954,m5,1,0,0,96.6581087784075,96.67738775464255,1,0,0,0,0,96.94673208722752,96.56278386097425,,,0,,
582,202507141320,96.683,96.63900000000001,96.682,96.64,892,m5,1,0,0,96.66245263687887,96.67787325415387,0,0,0,0,0,96.94730529595026,96.56333076557448,,,0,,
583,202507141325,96.69500000000001,96.67500000000001,96.686,96.682,883,m5,1,0,0,96.66673397562815,96.67872870108503,0,0,0,0,0,96.94787850467301,96.56389162338019,,,0,,
584,202507141330,96.694,96.652,96.676,96.686,1783,m5,1,0,0,96.66841870733211,96.67844146939187,0,0,0,0,0,96.94845171339576,96.56446643439132,,,0,,
585,202507141335,96.70700000000001,96.64,96.68400000000001,96.676,1705,m5,1,0,0,96.67125166963535,96.67902657787694,0,0,0,0,0,96.94902492211848,96.56505519860794,,,0,,
586,202507141340,96.68900000000001,96.61200000000001,96.637,96.68400000000001,1343,m5,1,0,0,96.665024093338,96.67460272757411,0,0,0,0,0,96.94959813084122,96.56565791602999,,,0,,
587,202507141345,96.688,96.63600000000001,96.686,96.637,1235,m5,1,0,0,96.66883789454928,96.67580244046104,0,0,0,0,0,96.95017133956397,96.56627458665751,,,0,,
588,202507141350,96.71600000000001,96.66900000000001,96.706,96.686,1592,m5,1,0,0,96.67559464099486,96.67898113093884,0,0,0,0,0,96.9507445482867,96.56690521049048,,,0,,
589,202507141355,96.717,96.68100000000001,96.69300000000001,96.706,1700,m5,1,0,0,96.67875925172306,96.68045680136633,0,0,0,0,0,96.95131775700946,96.56754978752889,,,0,,
590,202507141400,96.703,96.622,96.64500000000001,96.69300000000001,1770,m5,1,0,0,96.67262120595524,96.67672450648567,0,0,0,0,0,96.95189096573218,96.56820831777277,,,0,,
591,202507141405,96.67800000000001,96.63000000000001,96.65700000000001,96.64500000000001,1411,m5,1,0,0,96.66978098669064,96.67464824264508,0,0,0,0,0,96.95246417445493,96.5688808012221,,,0,,
592,202507141410,96.68100000000001,96.631,96.649,96.65700000000001,1346,m5,1,0,0,96.66600262547416,96.67194842762981,0,0,0,0,0,96.95303738317767,96.5695672378769,,,0,,
593,202507141415,96.691,96.64200000000001,96.667,96.649,1261,m5,1,0,0,96.66618396629703,96.67142754051089,0,0,0,0,0,96.95361059190041,96.57026762773712,,,0,,
594,202507141420,96.685,96.662,96.677,96.667,1096,m5,1,0,0,96.66815051787938,96.67201411519396,0,0,0,0,0,96.95418380062316,96.57098197080282,,,0,,
