timestamp,trade_id,instrument,side,open_price,current_price,current_pips,max_pips,action,details
2025-09-25T10:07:00.251490+01:00,69090580,GBP/USD,S,1.3453,1.34507,2.3,3.2,MONITOR,"Monitoring - Current: 2.3, Max: 3.2"
2025-09-25T10:08:00.787155+01:00,69090578,EUR/USD,S,1.17422,1.17471,-4.9,-0.7,DECLINING,"Pips declining: -4.9 (max was: -0.7, declining count: 2)"
2025-09-25T10:08:00.789384+01:00,69090580,GBP/USD,S,1.3453,1.34538,-0.8,3.2,DECLINING,"Pips declining: -0.8 (max was: 3.2, declining count: 1)"
2025-09-25T10:09:00.343835+01:00,69090578,EUR/USD,S,1.17422,1.175,-7.8,-0.7,DECLINING,"Pips declining: -7.8 (max was: -0.7, declining count: 3)"
2025-09-25T10:09:00.347291+01:00,69090580,GBP/USD,S,1.3453,1.3457000000000001,-4.0,-4.0,AUTO_CLOSE,Auto-closed due to pip decline from 3.2 to -4.0 (Success: True)
2025-09-25T10:10:00.829690+01:00,69090578,EUR/USD,S,1.17422,1.17493,-7.1,-0.7,MONITOR,"Monitoring - Current: -7.1, Max: -0.7"
2025-09-25T10:11:00.277154+01:00,69090578,EUR/USD,S,1.17422,1.17517,-9.5,-0.7,DECLINING,"Pips declining: -9.5 (max was: -0.7, declining count: 1)"
2025-09-25T10:12:00.796602+01:00,69090578,EUR/USD,S,1.17422,1.17488,-6.6,-0.7,MONITOR,"Monitoring - Current: -6.6, Max: -0.7"
2025-09-25T10:13:00.282358+01:00,69090583,USD/JPY,B,148.706,148.70999999999998,0.4,0.4,TRACK_START,Started tracking trade - Initial pips: 0.4
2025-09-25T10:13:00.284341+01:00,69090584,GBP/USD,S,1.34579,1.34573,0.6,0.6,TRACK_START,Started tracking trade - Initial pips: 0.6
2025-09-25T10:13:00.286341+01:00,69090578,EUR/USD,S,1.17422,1.17487,-6.5,-0.7,MONITOR,"Monitoring - Current: -6.5, Max: -0.7"
