,date,bidhigh,bidlow,bidclose,bidopen,tickqty,timeframe,ema_200,ema_100,ema_80,peaks_min,peaks_max,median_max,median_min,channel_width_pips,channel_breakout_up,channel_breakout_down,signal,valid_signal
97,202509261446,1.39406,1.39389,1.3939,1.39404,238,m1,1.3937895288235078,1.3938966297504403,1.3939280874844553,0,0,1.3937895288235078,1.3939280874844553,1.4,1,1,1,1
98,202509261447,1.39415,1.39388,1.39405,1.3939,285,m1,1.3937921205765078,1.393899666785085,1.393931097670024,0,0,1.3937921205765078,1.393931097670024,1.4,1,0,1,1
99,202509261448,1.39406,1.39379,1.39381,1.39405,295,m1,1.3937922984812192,1.3938978912051823,1.3939281076040977,0,0,1.3937922984812192,1.3939281076040977,1.4,1,1,1,1
100,202509261449,1.39398,1.39363,1.39392,1.39381,278,m1,1.3937935691430978,1.3938983290030995,1.3939279074163422,0,0,1.3937935691430978,1.3939279074163422,1.3,1,1,1,1
101,202509261450,1.39408,1.3938,1.39385,1.39392,337,m1,1.3937941306441617,1.3938973719931371,1.3939259837764326,0,0,1.3937941306441617,1.3939259837764326,1.3,1,1,1,1
102,202509261451,1.39389,1.39325,1.39329,1.39385,334,m1,1.3937891144188468,1.3938853448249562,1.3939102804733108,1,0,1.3937891144188468,1.3939102804733108,1.2,0,1,-1,-1
103,202509261452,1.3937,1.39326,1.39367,1.39329,439,m1,1.393787929200749,1.3938810805709965,1.393904347622118,0,0,1.393787929200749,1.393904347622118,1.2,0,1,-1,-1
104,202509261453,1.39399,1.39363,1.39392,1.39367,334,m1,1.393789243338055,1.3938818512527589,1.3939047341005844,0,0,1.393789243338055,1.3939047341005844,1.2,1,0,1,1
105,202509261454,1.39406,1.39382,1.39389,1.39392,215,m1,1.3937902458919051,1.3938820126140903,1.3939043702956317,0,0,1.3937902458919051,1.3939043702956317,1.1,1,1,1,1
106,202509261455,1.39413,1.39389,1.3941,1.39389,210,m1,1.393793328022334,1.3938863291959895,1.3939092006587024,0,0,1.393793328022334,1.3939092006587024,1.2,1,0,1,1
107,202509261456,1.39424,1.3940299999999999,1.39415,1.3941,265,m1,1.3937968769972362,1.3938915504000293,1.3939151463214503,0,0,1.3937968769972362,1.3939151463214503,1.2,1,0,1,1
108,202509261457,1.39422,1.39399,1.39404,1.39415,242,m1,1.3937992961315921,1.3938944899960684,1.393918229128328,0,0,1.3937992961315921,1.393918229128328,1.2,1,0,1,1
109,202509261458,1.39421,1.39404,1.3941999999999999,1.39404,175,m1,1.3938032832347604,1.3939005396991164,1.3939251864338014,0,0,1.3938032832347604,1.3939251864338014,1.2,1,0,1,1
110,202509261459,1.39426,1.39419,1.39424,1.3941999999999999,149,m1,1.3938076286752106,1.3939072616852726,1.3939329596082752,0,0,1.3938076286752106,1.3939329596082752,1.3,1,0,1,1
111,202509261500,1.39424,1.39414,1.39418,1.39424,191,m1,1.393811333862522,1.39391266244398,1.393939059371034,0,0,1.393811333862522,1.393939059371034,1.3,1,0,1,1
112,202509261501,1.39434,1.39418,1.39434,1.39418,147,m1,1.393816594222099,1.3939211245738021,1.3939489591396503,0,0,1.393816594222099,1.3939489591396503,1.3,1,0,1,1
113,202509261502,1.39436,1.39423,1.39434,1.39434,227,m1,1.3938218022397897,1.393929419136697,1.3939586144695355,0,0,1.3938218022397897,1.3939586144695355,1.4,1,0,1,1
114,202509261503,1.39434,1.39412,1.39433,1.39434,343,m1,1.393826858933921,1.3939373514310198,1.3939677844826333,0,0,1.393826858933921,1.3939677844826333,1.4,1,0,1,1
115,202509261504,1.39456,1.39422,1.39447,1.39433,309,m1,1.393833258347514,1.3939478989274352,1.393980184865778,0,0,1.393833258347514,1.393980184865778,1.5,1,0,1,1
116,202509261505,1.39459,1.39434,1.39459,1.39447,200,m1,1.3938407881152004,1.3939606138001592,1.393995242029586,0,0,1.3938407881152004,1.393995242029586,1.5,1,0,1,1
117,202509261506,1.39468,1.39451,1.39454,1.39459,246,m1,1.3938477454473874,1.3939720867942154,1.3940086928436703,0,0,1.3938477454473874,1.3940086928436703,1.6,1,0,1,1
118,202509261507,1.39459,1.3944,1.39452,1.39454,247,m1,1.3938544345474133,1.3939829365606664,1.3940213177117278,0,0,1.3938544345474133,1.3940213177117278,1.7,1,0,1,1
